run,link,sim_sec,count,stopped_count,mean_speed_kph
reference,71,1590.0,23.0,14.0,7.883971
reference,71,1620.0,20.0,17.0,6.537884
reference,71,1650.0,7.0,3.0,12.106806
reference,71,1680.0,18.0,15.0,0.532847
reference,71,1710.0,23.0,22.0,0.907771
reference,71,1740.0,19.0,13.0,12.765742
reference,71,1770.0,24.0,20.0,4.287798
reference,71,1800.0,9.0,5.0,10.635774
reference,71,1830.0,15.0,12.0,5.359808
reference,71,1860.0,26.0,22.0,3.001731
reference,71,1890.0,28.0,25.0,0.884268
reference,71,1920.0,32.0,31.0,1.401399
reference,71,1950.0,15.0,10.0,8.42801
reference,71,1980.0,24.0,24.0,0.014752
reference,71,2010.0,27.0,26.0,1.607229
reference,71,2040.0,10.0,4.0,13.700367
reference,71,2070.0,14.0,12.0,1.280824
reference,71,2100.0,14.0,8.0,10.381554
reference,71,2130.0,24.0,24.0,0.013666
reference,71,2160.0,28.0,25.0,2.045612
reference,71,2190.0,16.0,11.0,4.54455
reference,71,2220.0,17.0,12.0,14.685181
reference,71,2250.0,12.0,12.0,0.0
reference,71,2280.0,17.0,16.0,1.583149
reference,71,2310.0,26.0,21.0,4.964059
reference,71,2340.0,15.0,10.0,6.495933
reference,71,2370.0,14.0,12.0,2.830673
reference,71,2400.0,2.0,1.0,10.166863
reference,71,2430.0,7.0,4.0,21.401286
reference,71,2460.0,14.0,11.0,3.579374
reference,71,2490.0,12.0,10.0,3.15353
reference,71,2520.0,13.0,8.0,14.867428
reference,71,2550.0,6.0,4.0,14.292114
reference,420,900.0,11.0,0.0,45.429298
reference,420,930.0,19.0,0.0,44.471109
reference,420,960.0,28.0,0.0,52.526065
reference,420,990.0,18.0,0.0,49.414856
reference,420,1020.0,17.0,1.0,81.431768
reference,420,1050.0,24.0,0.0,73.84537
reference,420,1080.0,17.0,0.0,44.090533
reference,420,1110.0,13.0,0.0,43.933907
reference,420,1140.0,12.0,0.0,43.023558
reference,420,1170.0,7.0,0.0,42.267922
reference,420,1200.0,26.0,0.0,59.445687
reference,420,1230.0,35.0,0.0,50.90015
reference,420,1260.0,26.0,0.0,44.548826
reference,420,1290.0,20.0,1.0,37.570928
reference,420,1320.0,25.0,12.0,28.772086
reference,420,1350.0,22.0,0.0,46.275549
reference,420,1380.0,31.0,0.0,51.000442
reference,420,1410.0,22.0,0.0,52.080881
reference,420,1440.0,11.0,2.0,34.551231
reference,420,1470.0,15.0,3.0,48.843437
reference,420,1500.0,23.0,3.0,43.261832
reference,420,1530.0,31.0,0.0,42.932954
reference,420,1560.0,35.0,0.0,43.638192
reference,420,1590.0,19.0,0.0,41.277593
reference,420,1620.0,22.0,6.0,45.406993
reference,420,1650.0,24.0,0.0,66.110245
reference,420,1680.0,29.0,0.0,56.337896
reference,420,1710.0,18.0,0.0,48.726222
reference,420,1740.0,9.0,0.0,41.327332
reference,420,1770.0,12.0,3.0,37.906452
reference,420,1800.0,19.0,0.0,67.44737
reference,420,1830.0,30.0,0.0,51.461854
reference,420,1860.0,28.0,0.0,44.653487
reference,420,1890.0,11.0,0.0,42.408797
reference,420,1920.0,11.0,2.0,65.391772
reference,420,1950.0,20.0,3.0,40.909
reference,420,1980.0,31.0,0.0,43.346867
reference,420,2010.0,31.0,0.0,56.740111
reference,420,2040.0,24.0,1.0,35.798947
reference,420,2070.0,19.0,11.0,23.230596
reference,420,2100.0,31.0,12.0,25.729231
reference,420,2130.0,45.0,10.0,38.886835
reference,420,2160.0,35.0,1.0,42.120881
reference,420,2190.0,24.0,12.0,21.003166
reference,420,2220.0,28.0,15.0,31.537911
reference,420,2250.0,41.0,11.0,37.600729
reference,420,2280.0,34.0,11.0,31.26899
reference,420,2310.0,21.0,1.0,36.361201
reference,420,2340.0,24.0,10.0,23.659556
reference,420,2370.0,31.0,16.0,20.817385
reference,420,2400.0,35.0,7.0,43.182782
reference,420,2430.0,45.0,6.0,37.214164
reference,420,2460.0,35.0,6.0,35.414147
reference,420,2490.0,31.0,12.0,23.323734
reference,420,2520.0,39.0,24.0,27.506862
reference,420,2550.0,39.0,14.0,27.113775
reference,40,900.0,3.0,3.0,0.0
reference,40,930.0,14.0,1.0,74.59725
reference,40,960.0,14.0,0.0,55.752018
reference,40,990.0,10.0,0.0,41.718154
reference,40,1020.0,10.0,5.0,12.012425
reference,40,1050.0,10.0,10.0,0.0
reference,40,1080.0,16.0,10.0,17.081738
reference,40,1110.0,17.0,1.0,40.568507
reference,40,1140.0,11.0,0.0,42.144376
reference,40,1170.0,10.0,8.0,4.173254
reference,40,1200.0,14.0,10.0,16.480086
reference,40,1230.0,24.0,10.0,31.305771
reference,40,1260.0,23.0,3.0,42.057891
reference,40,1290.0,15.0,1.0,40.923914
reference,40,1320.0,14.0,7.0,14.302375
reference,40,1350.0,17.0,14.0,13.440839
reference,40,1380.0,33.0,13.0,39.169709
reference,40,1410.0,31.0,6.0,38.579735
reference,40,1440.0,24.0,8.0,22.589826
reference,40,1470.0,24.0,19.0,4.803386
reference,40,1500.0,29.0,23.0,11.418225
reference,40,1530.0,44.0,21.0,28.429003
reference,40,1560.0,43.0,15.0,23.743669
reference,40,1590.0,35.0,7.0,28.834185
reference,40,1620.0,33.0,22.0,5.069247
reference,40,1650.0,39.0,33.0,7.649195
reference,40,1680.0,48.0,32.0,15.505568
reference,40,1710.0,49.0,22.0,23.08487
reference,40,1740.0,42.0,16.0,15.789913
reference,40,1770.0,41.0,27.0,6.545733
reference,40,1800.0,40.0,36.0,3.064211
reference,40,1830.0,51.0,37.0,14.330568
reference,40,1860.0,49.0,31.0,14.190111
reference,40,1890.0,40.0,24.0,12.399516
reference,40,1920.0,40.0,34.0,3.391998
reference,40,1950.0,44.0,37.0,8.012245
reference,40,1980.0,48.0,39.0,11.776994
reference,40,2010.0,43.0,32.0,7.288312
reference,40,2040.0,35.0,24.0,8.238019
reference,40,2070.0,37.0,29.0,5.932903
reference,40,2100.0,39.0,35.0,5.791301
reference,40,2130.0,49.0,33.0,16.629703
reference,40,2160.0,48.0,27.0,16.765073
reference,40,2190.0,41.0,18.0,17.606458
reference,40,2220.0,40.0,28.0,4.801113
reference,40,2250.0,41.0,38.0,1.285937
reference,40,2280.0,49.0,38.0,12.86081
reference,40,2310.0,48.0,31.0,14.161769
reference,40,2340.0,40.0,27.0,9.563526
reference,40,2370.0,39.0,33.0,2.885659
reference,40,2400.0,43.0,39.0,5.342465
reference,40,2430.0,46.0,37.0,9.697931
reference,40,2460.0,44.0,28.0,14.721345
reference,40,2490.0,36.0,20.0,14.529028
reference,40,2520.0,36.0,27.0,5.039839
reference,40,2550.0,43.0,35.0,14.790312
reference,32,900.0,21.0,0.0,42.621578
reference,32,930.0,28.0,0.0,41.515966
reference,32,960.0,26.0,0.0,40.26427
reference,32,990.0,34.0,0.0,40.794071
reference,32,1020.0,35.0,0.0,39.588551
reference,32,1050.0,39.0,0.0,41.339951
reference,32,1080.0,39.0,0.0,39.85123
