time_s,network_n,FW_E_n,FW_W_n
5550.1,3777,1021,595
5555.1,3756,1025,588
5560.1,3769,1027,600
5565.1,3755,1028,602
5570.1,3749,1027,607
5575.1,3749,1033,604
5580.1,3743,1031,606
5585.1,3748,1030,611
5590.1,3734,1027,620
5595.1,3731,1032,611
5600.1,3736,1035,608
5605.1,3737,1035,606
5610.1,3731,1031,607
5615.1,3717,1034,599
5620.1,3700,1034,588
5625.1,3705,1036,587
5630.1,3705,1040,594
5635.1,3706,1035,597
5640.1,3712,1029,598
5645.1,3719,1021,599
5650.1,3730,1020,597
5655.1,3732,1013,595
5660.1,3724,1011,588
5665.1,3727,1007,584
5670.1,3716,1005,575
5675.1,3705,998,580
5680.1,3702,998,579
5685.1,3702,993,583
5690.1,3701,992,585
5695.1,3700,990,593
5700.1,3694,986,604
5705.1,3695,985,607
5710.1,3698,994,607
5715.1,3696,992,611
5720.1,3688,989,611
5725.1,3678,994,606
5730.1,3657,991,597
5735.1,3658,994,592
5740.1,3645,992,591
5745.1,3654,993,596
5750.1,3651,983,600
5755.1,3643,973,603
5760.1,3645,977,605
5765.1,3627,979,602
5770.1,3611,972,597
5775.1,3604,967,599
5780.1,3597,966,597
5785.1,3601,966,594
5790.1,3604,968,590
5795.1,3608,979,581
5800.1,3606,976,581
5805.1,3616,976,581
5810.1,3634,980,583
5815.1,3644,981,588
5820.1,3653,979,588
5825.1,3660,984,591
5830.1,3670,989,596
5835.1,3671,992,598
5840.1,3672,991,604
5845.1,3673,995,607
5850.1,3660,997,607
5855.1,3660,998,611
5860.1,3653,994,606
5865.1,3635,988,591
5870.1,3634,988,592
5875.1,3623,995,592
5880.1,3627,1003,600
5885.1,3617,1002,602
5890.1,3605,1005,605
5895.1,3596,998,600
5900.1,3599,1004,598
5905.1,3611,1013,601
5910.1,3605,1018,591
5915.1,3604,1013,583
5920.1,3603,1016,581
5925.1,3605,1018,579
5930.1,3603,1015,579
5935.1,3617,1020,580
5940.1,3625,1024,582
5945.1,3632,1029,582
5950.1,3614,1019,584
5955.1,3596,1015,585
5960.1,3612,1026,578
5965.1,3619,1033,581
5970.1,3618,1033,581
5975.1,3629,1036,586
5980.1,3629,1034,590
5985.1,3634,1034,595
5990.1,3630,1037,598
5995.1,3628,1040,598
6000.1,3612,1040,592
6005.1,3613,1050,597
6010.1,3616,1052,595
6015.1,3608,1052,595
6020.1,3606,1055,597
6025.1,3599,1045,601
6030.1,3594,1042,600
6035.1,3585,1038,601
6040.1,3587,1043,608
6045.1,3570,1040,609
6050.1,3570,1045,609
6055.1,3569,1040,614
6060.1,3576,1042,616
6065.1,3573,1041,612
6070.1,3570,1039,611
6075.1,3558,1035,606
6080.1,3560,1042,602
6085.1,3575,1048,596
6090.1,3576,1043,596
6095.1,3579,1042,602
6100.1,3584,1043,605
6105.1,3580,1036,606
