simsec,sc,states
56,101,RRRGRRRG
56,105,RGRRRGRR
56,107,RGRRRGRR
56,108,GRRRGRRR
56,109,RRRRGRRR
56,1001,RRGRRRGR
56,1002,RRGRRRGR
56,1003,RRGRRRGR
56,1004,RRGRRRGR
56,1005,RRGRRRGR
57,1,RRRGRRRG
57,5,RGRRRGRRRGRRRGRRRRRRRRRR
57,6,GRRRGRRR
57,11,RRGRRRGR
57,12,GRRRGRRR
57,101,RRRGRRRG
57,105,RGRRRGRR
57,107,RGRRRGRR
57,108,GRRRGRRR
57,109,RRRRGRRR
57,1001,RRGRRRGR
57,1002,RRGRRRGR
57,1003,RRGRRRGR
57,1004,RRGRRRGR
57,1005,RRGRRRGR
58,1,RRRGRRRG
58,5,RGRRRGRRRGRRRGRRRRRRRRRR
58,6,GRRRGRRR
58,11,RRGRRRGR
58,12,GRRRGRRR
58,101,RRRGRRRG
58,105,RGRRRGRR
58,107,RGRRRGRR
58,108,GRRRGRRR
58,109,RRRRGRRR
58,1001,RRGRRRGR
58,1002,RRGRRRGR
58,1003,RRGRRRGR
58,1004,RRGRRRGR
58,1005,RRGRRRGR
59,1,RRRGRRRG
59,5,RGRRRGRRRGRRRGRRRRRRRRRR
59,6,GRRRGRRR
59,11,RRGRRRGR
59,12,GRRRGRRR
59,101,RRRGRRRG
59,105,RGRRRGRR
59,107,RGRRRGRR
59,108,GRRRGRRR
59,109,RRRRGRRR
59,1001,RRGRRRGR
59,1002,RRGRRRGR
59,1003,RRGRRRGR
59,1004,RRGRRRGR
59,1005,RRGRRRGR
60,1,RRRGRRRG
60,5,RGRRRGRRRGRRRGRRRRRRRRRR
60,6,GRRRGRRR
60,11,RRGRRRGR
60,12,GRRRGRRR
60,101,RRRGRRRG
60,105,RGRRRGRR
60,107,RGRRRGRR
60,108,GRRRGRRR
60,109,RRRRGRRR
60,1001,RRGRRRGR
60,1002,RRGRRRGR
60,1003,RRGRRRGR
60,1004,RRGRRRGR
60,1005,RRGRRRGR
61,1,RRRGRRRG
61,5,RGRRRGRRRGRRRGRRRRRRRRRR
61,6,GRRRGRRR
61,11,RRGRRRGR
61,12,GRRRGRRR
61,101,RRRGRRRG
61,105,RGRRRGRR
61,107,RGRRRGRR
61,108,GRRRGRRR
61,109,RRRRGRRR
61,1001,RRGRRRGR
61,1002,RRGRRRGR
61,1003,RRGRRRGR
61,1004,RRGRRRGR
61,1005,RRGRRRGR
62,1,RRRGRRRG
62,5,RGRRRGRRRGRRRGRRRRRRRRRR
62,6,GRRRGRRR
62,11,RRGRRRGR
62,12,GRRRGRRR
62,101,RRRGRRRG
62,105,RGRRRGRR
62,107,RGRRRGRR
62,108,GRRRGRRR
62,109,RRRRGRRR
62,1001,RRGRRRGR
62,1002,RRGRRRGR
62,1003,RRGRRRGR
62,1004,RRGRRRGR
62,1005,RRGRRRGR
63,1,RRRGRRRG
63,5,RGRRRGRRRGRRRGRRRRRRRRRR
63,6,GRRRGRRR
63,11,RRGRRRGR
63,12,GRRRGRRR
63,101,RRRGRRRG
63,105,RGRRRGRR
63,107,RGRRRGRR
63,108,GRRRGRRR
63,109,RRRRGRRR
63,1001,RRGRRRGR
63,1002,RRGRRRGR
63,1003,RRGRRRGR
63,1004,RRGRRRGR
63,1005,RRGRRRGR
64,1,RRRGRRRG
64,5,RGRRRGRRRGRRRGRRRRRRRRRR
64,6,ARRRARRR
64,11,RRGRRRGR
64,12,GRRRGRRR
64,101,RRRGRRRG
64,105,RGRRRGRR
64,107,RGRRRGRR
64,108,GRRRGRRR
64,109,RRRRGRRR
64,1001,RRGRRRGR
64,1002,RRGRRRGR
64,1003,RRGRRRGR
64,1004,RRGRRRGR
64,1005,RRGRRRGR
65,1,RRRGRRRG
65,5,RGRRRGRRRGRRRGRRRRRRRRRR
65,6,ARRRARRR
65,11,RRGRRRGR
65,12,GRRRGRRR
65,101,RRRGRRRG
65,105,RGRRRGRR
65,107,RGRRRGRR
65,108,GRRRGRRR
65,109,RRRRGRRR
65,1001,RRGRRRGR
65,1002,RRGRRRGR
65,1003,RRGRRRGR
