sim_sec,elapsed_sec,link,cell_index_zero_based,count_veh,speed_kph,density_veh_km_lane,effective_lanes
1320.0,120.0,FW_E,11,33.26433341844033,87.39011600644946,16.19676526535684,4.0
1320.0,120.0,FW_E,12,37.036580201813834,73.63878194106314,18.033513199089004,4.0
1320.0,120.0,FW_E,13,30.286839388485323,80.46231379334115,19.70929792573929,2.9929003327450907
1320.0,120.0,FW_E,14,29.09453085463192,69.21338147600568,18.888590805066155,3.0
1320.0,120.0,FW_E,15,27.212815621781957,66.06371543956467,17.666954023137976,3.0
1320.0,120.0,FW_E,16,20.902046359441066,82.66195241968275,13.569911219556591,3.0
1320.0,120.0,FW_E,17,18.38048765653544,93.96064578899112,11.932878790056007,3.0
1320.0,120.0,FW_E,18,17.40685858137897,100.09064667315987,11.300784693456482,3.0
1320.0,120.0,FW_E,19,16.595250617750796,103.99636438167646,10.773877049002577,3.0
1320.0,120.0,FW_E,20,15.506048745234905,106.46981281225618,10.066751418523845,3.0
1330.0,130.0,FW_W,0,43.40148307297166,77.38723535649999,28.176871391890955,3.0
1330.0,130.0,FW_W,1,50.04701453178623,64.83615157132125,32.49124666176265,3.0
1330.0,130.0,FW_W,2,49.54333081269034,61.76648213338698,32.16424789650634,3.0
1330.0,130.0,FW_W,3,46.931932570110014,61.60116872155649,30.468890336708608,3.0
1330.0,130.0,FW_W,4,48.823387459047055,57.163790889727046,31.69685024442734,3.0
1330.0,130.0,FW_W,5,57.629728528431784,45.273736166471714,37.41405440834927,3.0
1330.0,130.0,FW_W,6,43.51303637709856,59.14632079135671,32.47485124977442,2.6096464487497024
1330.0,130.0,FW_W,7,30.307180066532126,68.45310049050144,14.75689517711486,4.0
1330.0,130.0,FW_W,8,24.24570773270044,85.7316732920481,11.805498456833616,4.0
1330.0,130.0,FW_W,9,20.891803672804947,98.38048817811959,10.172446139286182,4.0
1330.0,130.0,FW_W,10,19.209980460156007,104.5289858679057,9.353548148743482,4.0
1330.0,130.0,FW_W,11,18.668698137028475,104.26011832161011,9.112847437168684,3.989967776271175
1330.0,130.0,FW_W,12,14.832854967192537,101.56544833999156,7.2222782009970645,4.0
1330.0,130.0,FW_W,13,20.292699922579146,90.34073515429569,9.880736015715119,4.0
1330.0,130.0,FW_W,14,21.74407973080648,84.38943304781864,10.587428609522068,4.0
1330.0,130.0,FW_W,15,22.625318801182598,83.40838213377995,11.016513485085238,4.0
1330.0,130.0,FW_W,16,20.71480771930807,94.78857790311868,10.086264886962702,4.0
1330.0,130.0,FW_W,17,20.13830193730175,101.90565561412053,9.805557959581407,4.0
1330.0,130.0,FW_W,18,20.22211649662475,105.69823719790163,9.846368178926474,4.0
1330.0,130.0,FW_W,19,20.311430464875567,107.84226211448731,9.889856120214185,4.0
1330.0,130.0,FW_W,20,20.045452812517834,109.18652443888608,9.760348712178143,4.0
1330.0,130.0,FW_E,0,36.993915343438594,91.60120500991908,18.01273921611178,4.0
1330.0,130.0,FW_E,1,37.09299327743163,91.3398002541877,18.060981338377548,4.0
1330.0,130.0,FW_E,2,36.68346608532595,92.23319497501001,17.861578100174096,4.0
1330.0,130.0,FW_E,3,36.19182721594434,93.12554308830073,17.622193794391343,4.0
1330.0,130.0,FW_E,4,35.577158480650745,94.08890102648546,17.32290491052075,4.0
1330.0,130.0,FW_E,5,34.87941226667652,95.09491209116395,16.983164699876188,4.0
1330.0,130.0,FW_E,6,34.06648351145533,96.2288232793162,16.587340858762413,4.0
1330.0,130.0,FW_E,7,33.5811294160485,95.78046169382793,16.351016677694464,4.0
1330.0,130.0,FW_E,8,32.922147106450886,96.66915721147922,16.221425236941307,3.9528341804754685
1330.0,130.0,FW_E,9,30.80863875476333,84.3346394494956,15.001060859360338,4.0
1330.0,130.0,FW_E,10,33.8387436109639,81.1213972708603,16.47645182745627,4.0
1330.0,130.0,FW_E,11,32.6919456433008,87.46692847867772,15.918063440249608,4.0
1330.0,130.0,FW_E,12,38.008482972589015,72.40840873676132,18.50674321518393,4.0
1330.0,130.0,FW_E,13,31.857827414152855,78.46865545379805,20.735303142469665,2.992369507701156
1330.0,130.0,FW_E,14,30.727355169406636,67.3245863671662,19.948643998308558,3.0
1330.0,130.0,FW_E,15,28.381137435671604,65.07067797106752,18.425445465445627,3.0
1330.0,130.0,FW_E,16,21.28062359025901,82.29338553095651,13.815689040713545,3.0
1330.0,130.0,FW_E,17,18.384607309326178,93.96217256619468,11.935553328312423,3.0
1330.0,130.0,FW_E,18,17.324509825989065,100.08176308344692,11.247322688805571,3.0
1330.0,130.0,FW_E,19,16.684073988507073,103.66375865871153,10.831542467720777,3.0
1330.0,130.0,FW_E,20,15.911372947182448,105.88472001196905,10.329893760712816,3.0
1340.0,140.0,FW_W,0,43.56299825618752,77.07456222946445,28.281729388048817,3.0
1340.0,140.0,FW_W,1,50.663037737710134,63.991241983007704,32.89117784887334,3.0
1340.0,140.0,FW_W,2,50.542788731605675,60.523410645873994,32.81311045255162,3.0
1340.0,140.0,FW_W,3,47.84654247547002,60.42950894285847,31.062668333505385,3.0
1340.0,140.0,FW_W,4,49.365113585336644,56.153454742782124,32.04854669139956,3.0
1340.0,140.0,FW_W,5,58.61337928704691,44.59031606145675,38.052654726993566,3.0
1340.0,140.0,FW_W,6,43.70497185954696,58.80957513064501,32.53110541713876,2.6166249511394586
1340.0,140.0,FW_W,7,30.222178218730456,68.12343786943688,14.715506854112961,4.0
1340.0,140.0,FW_W,8,24.22404208532046,85.44770130725804,11.79494921778766,4.0
1340.0,140.0,FW_W,9,21.017747223943115,98.10461978159199,10.233769422359684,4.0
1340.0,140.0,FW_W,10,19.46612840342067,104.18042005196718,9.478269364649817,4.0
1340.0,140.0,FW_W,11,19.001956699060493,103.95901257112313,9.283358563992097,3.9865999168693875
1340.0,140.0,FW_W,12,15.106688098493722,101.360773026323,7.355610527058475,4.0
1340.0,140.0,FW_W,13,20.504932900303412,90.30127099958035,9.984074557886599,4.0
1340.0,140.0,FW_W,14,21.734811483399906,84.5320587187918,10.582915799186228,4.0
1340.0,140.0,FW_W,15,22.343069148359184,83.68536811869106,10.879083063272695,4.0
1340.0,140.0,FW_W,16,20.301550625492233,95.15942371361251,9.885045519101626,4.0
1340.0,140.0,FW_W,17,19.658534075701233,102.29005749261148,9.571953776432556,4.0
1340.0,140.0,FW_W,18,19.76098375461764,105.97263724207517,9.62183763792609,4.0
1340.0,140.0,FW_W,19,20.024756057357084,107.97047174060103,9.750271237278033,4.0
1340.0,140.0,FW_W,20,20.054851732478006,109.19392945194814,9.76492514839972,4.0
