run_label,run,seed,sim_sec,vehicle_id,physical_link,lane,local_pos_m,chain_pos_m,cell,speed_kph,speed_class
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16171,2,3,1755.24,4489.767,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16191,2,2,1813.93,4548.457,8,2.47,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16212,2,3,1902.03,4636.557,9,1.31,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16223,2,3,1852.98,4587.507,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16240,2,2,1547.03,4281.557,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16241,2,4,2353.6,5088.127,9,114.77,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16270,2,1,1614.58,4349.107,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16344,2,2,1850.36,4584.887,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16354,2,2,1730.75,4465.277,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16384,2,1,1541.58,4276.107,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16394,2,3,1811.19,4545.717000000001,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16415,2,2,1889.91,4624.437,9,2.16,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16428,2,3,1763.39,4497.917,8,4.81,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16451,2,2,1896.5,4631.027,9,1.4,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16455,2,3,1486.68,4221.207,8,21.01,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16457,2,3,1625.25,4359.777,8,19.33,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16480,2,2,1718.98,4453.507,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16489,2,2,1764.66,4499.187,8,4.55,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16524,2,2,1693.77,4428.2970000000005,8,16.4,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16525,2,4,1857.11,4591.637,8,98.8,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16579,2,2,1807.4,4541.927,8,3.93,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16580,2,2,1725.01,4459.537,8,0.97,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16623,2,2,1771.95,4506.477,8,2.39,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16624,2,2,1582.0,4316.527,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16655,2,3,1381.97,4116.497,8,15.05,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16784,2,3,1803.91,4538.437,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16820,2,3,1775.33,4509.857,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16821,2,1,1627.36,4361.887,8,2.56,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,16827,2,3,1588.4,4322.927,8,0.0,stopped
