link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
32,1650,2,signal,1551,1039,1468.68994140625,1954.22998046875,116
32,1650,3,ramp,54,0,,,16
32,1650,3,signal,1554,1171,1469.1700439453125,1953.949951171875,77
32,1800,1,ramp,629,2,1262.6500244140625,1266.6199951171875,58
32,1800,1,signal,1398,903,1487.6600341796875,1954.3599853515625,99
32,1800,2,ramp,459,0,,,53
32,1800,2,signal,1448,926,1492.5799560546875,1954.239990234375,120
32,1800,3,ramp,65,0,,,22
32,1800,3,signal,1525,1115,1500.9200439453125,1953.93994140625,74
32,1950,1,ramp,473,0,,,46
32,1950,1,signal,1751,1380,1506.800048828125,1954.3599853515625,100
32,1950,2,ramp,415,0,,,49
32,1950,2,signal,1728,1352,1511.6400146484375,1954.239990234375,109
32,1950,3,ramp,56,0,,,20
32,1950,3,signal,1611,1305,1512.68994140625,1953.8399658203125,73
32,2100,1,ramp,690,194,870.4299926757812,1024.760009765625,57
32,2100,1,signal,1830,1335,934.7899780273438,1954.239990234375,119
32,2100,2,ramp,728,244,889.5399780273438,1023.7899780273438,63
32,2100,2,signal,1876,1374,1432.4000244140625,1954.1300048828125,122
32,2100,3,ramp,44,0,,,20
32,2100,3,signal,2005,1616,1445.3800048828125,1953.97998046875,85
32,2250,1,ramp,1364,888,675.4500122070312,1024.780029296875,81
32,2250,1,signal,1664,1104,698.8800048828125,1954.239990234375,106
32,2250,2,ramp,1529,1140,688.8599853515625,1027.8800048828125,79
32,2250,2,signal,1551,976,1429.4200439453125,1954.06005859375,120
32,2250,3,ramp,53,0,,,20
32,2250,3,signal,1854,1333,1426.75,1953.97998046875,79
32,2400,1,ramp,1704,969,538.3699951171875,1271.3199462890625,97
32,2400,1,signal,1611,1032,542.9400024414062,1954.199951171875,111
32,2400,2,ramp,1879,1214,547.8900146484375,1028.27001953125,107
32,2400,2,signal,1468,925,1475.6500244140625,1953.949951171875,125
32,2400,3,ramp,45,0,,,20
32,2400,3,signal,1668,1149,1473.1199951171875,1954.0699462890625,78
32,2550,1,ramp,1856,1046,460.8800048828125,1265.199951171875,94
32,2550,1,signal,1532,1006,477.4100036621094,1954.260009765625,113
32,2550,2,ramp,2117,1434,466.29998779296875,1028.1500244140625,102
32,2550,2,signal,1370,807,515.2899780273438,1953.949951171875,120
32,2550,3,ramp,37,0,,,18
32,2550,3,signal,1646,1154,1497.93994140625,1953.8800048828125,84
32,2700,1,ramp,2455,2080,407.489990234375,1026.93994140625,102
32,2700,1,signal,1530,972,429.94000244140625,1954.260009765625,115
32,2700,2,ramp,2585,2283,429.79998779296875,1027.760009765625,105
32,2700,2,signal,1413,826,405.0299987792969,1954.1300048828125,118
32,2700,3,ramp,41,0,,,13
32,2700,3,signal,1552,1069,1499.3900146484375,1953.97998046875,79
32,2850,1,ramp,2245,1673,382.489990234375,1274.449951171875,98
32,2850,1,signal,1649,1145,298.67999267578125,1954.219970703125,118
32,2850,2,ramp,2193,1820,431.45001220703125,1028.4000244140625,90
32,2850,2,signal,1869,1277,295.1300048828125,1954.4599609375,146
32,2850,3,ramp,20,0,,,2
32,2850,3,signal,1453,954,1522.5400390625,1953.9300537109375,86
32,3000,1,ramp,2167,1974,422.5400085449219,1028.4599609375,80
32,3000,1,signal,2163,1694,288.75,1954.219970703125,118
32,3000,2,ramp,1986,1904,538.030029296875,1027.93994140625,67
32,3000,2,signal,2313,1780,283.2799987792969,1954.4599609375,135
32,3000,3,ramp,76,0,,,4
32,3000,3,signal,1505,1107,1560.5799560546875,1954.06005859375,74
32,3150,1,ramp,1633,1116,536.7899780273438,1271.300048828125,78
32,3150,1,signal,2736,2190,205.24000549316406,1954.2099609375,152
32,3150,2,ramp,1604,1267,233.6699981689453,1027.949951171875,68
32,3150,2,signal,2908,2339,215.0800018310547,1954.2099609375,170
32,3150,3,ramp,136,0,,,11
32,3150,3,signal,1748,1265,1553.699951171875,1954.1099853515625,93
32,3300,1,ramp,1034,724,693.8800048828125,1028.3599853515625,53
32,3300,1,signal,3308,2358,151.80999755859375,1954.3900146484375,171
32,3300,2,ramp,1027,793,643.97998046875,1028.52001953125,46
32,3300,2,signal,3264,2209,138.77000427246094,1954.3900146484375,203
32,3300,3,ramp,172,0,,,10
32,3300,3,signal,1414,844,1543.8399658203125,1954.1099853515625,91
32,3450,1,ramp,883,868,834.6300048828125,1026.550048828125,33
32,3450,1,signal,3809,2954,132.82000732421875,1954.3900146484375,208
32,3450,2,ramp,909,896,803.239990234375,1024.2099609375,34
32,3450,2,signal,3573,2715,126.22000122070312,1954.3900146484375,210
32,3450,3,ramp,119,7,1014.7100219726562,1014.9400024414062,10
